Material,Band_Gap(ev),Refractive_index_n,mean-z,std-z,mean_mass,std_mass,mean_ele,std_ele,mean-FIE,std_FIE,mean-p,std-p,mean-radius,std-radius,mean-Den,std-Den,mean-boil,std-boil,mean-melt,std-melt,mean-con,std-con
Ag3AsS3,2.1,2.729,31.71,14.35,70.674,35.132,2.244,0.302,9.089,1.322,4,0.925,124.714,35.911,6154,3952.45,435.416,379.037,851.41,403.809,191.516,207.174
Ag3SbS3,1.75,3.013,34.28,15.88,77.365,39.494,2.225,0.309,8.921,1.293,4.142,0.989,127.428,35.716,6292.428,3952.075,308.967,354.119,824.807,393.209,187.802,209.894
AgAlGeSe4,2.02,2.896,32.57,9.25,70.112,28.723,2.25,0.364,8.639,1.704,4,0.816,117.142,28.004,5398.428,2221.783,947.075,860.869,765.114,325.631,103.868,204.517
AgAlS2,3.13,2.458,23,13.91,49.744,33.621,2.175,0.42,8.57,1.876,3.5,0.866,11.75,3.491,4277.5,3599.488,1057.543,1043.114,736.28,363.879,166.652,179.883
AgAlSe2,2.55,2.663,32,12.18,70.192,28.731,2.16,0.406,8.266,1.589,4,0.707,122.25,25.43,5707,2893.796,1177.608,1010.414,789.1,313.757,166.51,179.738
AgAlSnSe4,1.85,2.681,35.14,11.06,77.914,27.396,2.242,0.369,8.559,1.739,4.142,0.961,120,29.018,5682.285,2318.825,947.044,860.903,664.211,277.599,104.868,203.37
AgAlTe2,1.8,2.779,41,16.29,97.512,41.51,1.935,0.2,7.895,1.248,4.5,0.866,132.25,19.018,6417.5,2759.894,699.239,1208.256,903.43,209.851,167.75,178.593
AgBr,2.7,2.242,41,6,93.886,13.982,2.445,0.515,9.695,2.119,4.5,0.5,129.5,35.5,6805,3685,167.217,164.782,750.365,484.565,215.06,214.94
AgBr,4.3,2.242,41,6,93.886,13.982,2.445,0.515,9.695,2.119,4.5,0.5,129.5,35.5,6805,3685,167.217,164.782,750.365,484.565,215.06,214.94
AgCl,3.2,2.0568,32,15,71.66,36.2,2.545,0.615,10.272,2.696,4,1,122,43,5246.607,5243.393,120.772,118.337,703.265,531.665,215.004,214.995
AgCl,5.1,2.0568,32,15,71.66,36.2,2.545,0.615,10.272,2.696,4,1,122,43,5246.607,5243.393,120.772,118.337,703.265,531.665,215.004,214.995
AgGaGeS4,3,2.288,24.85,11.29,54.07,27.828,2.295,0.332,8.987,2.009,3.571,0.895,111.142,35.168,3472.913,1757.564,411.355,353.933,614.668,385.98,74.26,207.205
AgGaGeSe4,1.85,2.984,35.14,9.96,77.438,12.471,2.278,0.318,8.641,1.699,4.1,0.378,119.714,27.952,5856.142,1929.538,548.572,472.766,675.034,352.691,74.44,207.12
AgGaS2,2.6,2.5482,27.5,12.81,60.43,31.408,2.225,0.357,8.57,1.871,3.75,0.829,119.25,32.889,5078.5,3514.821,360.163,357.707,578.64,380.511,114.852,182.329
AgGaSe2,1.7,2.8421,36.5,6.18,80.877,15.638,2.21,0.342,8.27,1.584,4.25,0.433,126.75,25.868,6508,2341.291,480.228,477.772,631.46,357.04,115.01,182.23
AgGaSnSe4,1.7,3.069,37.71,6.94,93.02,35.602,2.271,0.324,8.561,1.734,4.285,0.606,122.571,28.772,6140,1975.827,548.54,472.802,574.131,277.917,75.44,206.511
AgGaTe2,1.1,2.992,45.5,8.61,108.197,23.628,1.985,0.122,7.898,1.243,4.75,0.433,136.75,17.15,7218.5,1893.775,1.858,0.597,745.79,330.329,124,178.195
AgI,2.92,2.222,50,3,117.386,9.518,2.295,0.365,9.013,1.437,5,0,140,25,7715,2775,229.917,227.482,810.89,424.04,215.224,214.775
AgInGeSe4,1.58,3.142,37.71,6.56,83.88,17.467,2.274,0.324,8.61,1.784,4.285,0.606,122.571,31.217,6057,1996.097,548.553,472.788,693.154,335.97,82.011,201.312
